Latitude,Longitude,Sample Date,pet,aet,def,ppt,q,soil,pdsi,tmax,tmin,vap,swe,temp_range,aridity_index,evap_fraction,water_balance
-28.760833,17.730278,02-01-2011,174.2,31.1,143.1,32.7,1.6,0.0,3.6499999,36.1,22.689999,1.4710001,0.0,13.41,0.1877152730933499,0.17853042,1.5999996185302763
-26.861111,28.884722,03-01-2011,124.1,53.8,70.3,51.1,2.6,12.8,0.65999997,27.16,13.219999,1.6200001,0.0,13.940001,0.41176471094523037,0.43352136,-2.6999992370605455
-26.45,28.085833,03-01-2011,127.5,60.8,66.700005,62.7,3.1,6.8,-1.16,27.519999,14.09,1.6320001,0.0,13.429998,0.49176470588235294,0.47686273,1.900000762939456
-27.671111,27.236944,03-01-2011,129.7,83.200005,46.5,84.2,4.2,7.2000003,2.84,28.869999,14.639999,1.6140001,0.0,14.23,0.6491904547507482,0.6414804,0.9999954223632841
-27.356667,27.286389,03-01-2011,129.2,77.3,51.9,78.0,3.9000000000000004,7.8,2.6499999,28.67,14.69,1.636,0.0,13.9800005,0.6037151845386419,0.59829724,0.6999969482421875
-27.01011111,26.69808333,04-01-2011,98.6,98.6,0.0,106.0,5.300000000000001,5.9,3.0,24.18,9.809999,1.2090001,0.0,14.370001,1.0750507265760367,1.0,7.400001525878906
-25.127778,27.628889,04-01-2011,105.5,105.5,0.0,135.1,6.800000000000001,24.0,2.0,27.17,12.62,1.4870001,0.0,14.55,1.280568720379147,1.0,29.599999999999994
-25.20639,27.558,04-01-2011,103.700005,103.700005,0.0,143.4,7.2,33.600002,1.9599999,27.0,12.5199995,1.4770001,0.0,14.4800005,1.3828350402110274,1.0,39.69999542236329
-24.69514,27.40906,04-01-2011,111.8,111.8,0.0,141.1,7.1000000000000005,23.6,2.01,27.74,13.49,1.5300001,0.0,14.25,1.2620750997178216,1.0,29.299996948242182
-26.98472222,26.63227778,04-01-2011,98.200005,98.200005,0.0,109.30000000000001,5.5,10.7,2.98,24.35,9.98,1.2110001,0.0,14.370001,1.1130345713333207,1.0,11.099995422363293
-28.141944,26.417778,04-01-2011,93.8,87.700005,6.1,90.9,4.5,4.8,3.82,23.88,8.78,1.149,0.0,15.099999,0.9690831241214607,0.93496805,3.199995422363287
-27.398611,26.614722,04-01-2011,100.9,92.700005,8.2,97.2,4.9,2.9,3.22,24.8,9.87,1.2010001,0.0,14.929999,0.9633300151642721,0.91873145,4.499995422363284
-33.501667,21.624167,04-01-2011,100.200005,15.5,84.700005,16.3,0.8,0.1,-3.02,24.55,9.33,1.161,0.0,15.219999,0.1626746432668122,0.15469061,0.8000000000000007
-32.502778,19.535833,04-01-2011,119.9,15.400001,104.5,16.2,0.8,0.6,-2.78,27.06,10.92,1.098,0.0,16.14,0.1351125921087118,0.12844037,0.7999994277954094
-25.45963889,28.26430556,04-01-2011,103.6,103.6,0.0,141.9,7.1000000000000005,32.5,2.06,26.4,12.04,1.4030001,0.0,14.36,1.3696911398646991,1.0,38.30000152587891
